"3233","CAPITOL AIR","Airlines","CAPITOL AIR"
"3234","Caribbean Airlines","Airlines","CARIBBEANAIR"
"3235","BROCKWAY AIR","Airlines","BROCKWAY AIR"
"3236","Air Arabia Airline","Airlines","AIR ARABIA"
"3238","BEMIDJI AIRLINES","Airlines","BEMIDJI AIR"
"3239","Bar Harbor Airlines","Airlines","BARHARBORAIR"
"3240","Bahamasair","Airlines","BAHAMASAIR"
"3241","Aviateca (Guatemala)","Airlines","AVIATECA AIR"
"3242","Avensa","Airlines","AVENSA AIR"
"3243","Austrian Air Service","Airlines","AUST AIRSERV"
"3245","EasyJet","Airlines","EASYJET AIR"
"3246","Ryanair","Airlines","RYANAIR"
"3247","Gol Airlines","Airlines","GOL AIR"
"3248","Tam Airlines","Airlines","TAM AIR"
"3251","ALOHA AIRLINES","Airlines","ALOHA AIR"
"3252","ALM Antilean Airlines","Airlines","ALM AIRLINE"
"3253","America West","Airlines",
"3254","US AIR SHUTTLE","Airlines","USAIRSHUTL"
"3256","Alaska Airlines Inc.","Airlines","ALASKA AIR"
"3259","AMERICAN TRANS AIR","Airlines","ATA AIR"
"3260","Spirit Airlines","Airlines","SPIRIT AIR"
"3261","Air China","Airlines","AIR CHINA"
"3262","RENO AIR, INC.","Airlines","RENO AIR"
"3263","Aero Servicio Carabobo","Airlines","ASC AIRLINE"
"3266","Air Seychelles","Airlines","AIR SEYCH"
"3267","Air Panama International","Airlines","AIR PANAMA"
"3280","Air Jamaica","Airlines","AIR JAMAICA"
"3282","Air Djibouti","Airlines","AIR DJIBOUTI"
"3284","AERO VIRGIN ISLANDS","Airlines","AERVIRGINIS"
"3285","Aero Peru","Airlines","AEROPERU"
"3286","Aero. Nicaraguenses","Airlines","AERONICARAG"
"3287","Aero Coach Aviation","Airlines","AEROCOACH AV"
"3292","Cyprus Airways","Airlines","CYPRUS AIR"
"3293","Ecuatoriana","Airlines","ECUATORIANA"
"3294","Ethiopian Airlines","Airlines","ETHIOPIAN AIR"
"3295","Kenya Airways","Airlines","KENYA AIR"
"3296","Air Berlin","Airlines","AIR BERLIN"
"3297","Tarom Romanian Air Transport","Airlines","TAROM AIR"
"3298","Air Mauritius","Airlines","AIRMAURITIUS"
"3299","Wideroes Flyveselskap","Airlines","WIDEROES"
"3300","Azul Brazilian Airlines","Airlines","AZUL AIR"
"3301","WIZZ AIR","Airlines","WIZZ AIR"
"3302","FLYBE LTD","Airlines","FLYBEAIR"
"3303","TIGERAIR","Airlines","TIGERAIR"
"3308","CHINA SOUTHERN AIRLINES","Airlines","CHINA SOUTHERN"
"3351","Affiliated Auto Rental","Automobile/Vehicle rentals",
"3352","American International","Automobile/Vehicle rentals",
